scope,layer,route,threshold_id,kind,criterion,epsilon,output_equivalence,observations,mean,median,p90,p99,minimum,maximum,pool_size,mean_pool_fraction,no_active_fraction
layer,17,k,admission_weight_gt_1e-06,approximate,admission_weight > 1e-06,1e-06,not asserted; approximate pruning threshold,9994240,313.8582522532979,314,377,430,108,569,4600,0.06823005483767346,0.0
layer,0,k,admission_weight_gt_1e-05,approximate,admission_weight > 1e-05,1e-05,not asserted; approximate pruning threshold,9994240,244.13751260726178,246,294,311,112,413,4600,0.05307337230592647,0.0
layer,1,k,admission_weight_gt_1e-05,approximate,admission_weight > 1e-05,1e-05,not asserted; approximate pruning threshold,9994240,311.4918151855469,308,405,433,134,475,4600,0.06771561199685802,0.0
layer,2,k,admission_weight_gt_1e-05,approximate,admission_weight > 1e-05,1e-05,not asserted; approximate pruning threshold,9994240,328.67991272973234,325,424,450,143,505,4600,0.07145215494124615,0.0
layer,3,k,admission_weight_gt_1e-05,approximate,admission_weight > 1e-05,1e-05,not asserted; approximate pruning threshold,9994240,357.7571287061347,368,444,463,141,495,4600,0.07777328884915972,0.0
layer,4,k,admission_weight_gt_1e-05,approximate,admission_weight > 1e-05,1e-05,not asserted; approximate pruning threshold,9994240,320.63402870053153,328,362,376,107,406,4600,0.06970304971750685,0.0
layer,5,k,admission_weight_gt_1e-05,approximate,admission_weight > 1e-05,1e-05,not asserted; approximate pruning threshold,9994240,295.5447637839396,302,336,349,92,383,4600,0.06424886169216078,0.0
layer,6,k,admission_weight_gt_1e-05,approximate,admission_weight > 1e-05,1e-05,not asserted; approximate pruning threshold,9994240,297.1513171586834,304,344,360,91,406,4600,0.06459811242580074,0.0
layer,7,k,admission_weight_gt_1e-05,approximate,admission_weight > 1e-05,1e-05,not asserted; approximate pruning threshold,9994240,310.7213719102203,317,363,385,94,442,4600,0.06754812432830876,0.0
layer,8,k,admission_weight_gt_1e-05,approximate,admission_weight > 1e-05,1e-05,not asserted; approximate pruning threshold,9994240,305.46263307665214,312,360,385,101,446,4600,0.06640492023405481,0.0
layer,9,k,admission_weight_gt_1e-05,approximate,admission_weight > 1e-05,1e-05,not asserted; approximate pruning threshold,9994240,374.91525538710295,376,443,487,123,596,4600,0.08150331638850064,0.0
layer,10,k,admission_weight_gt_1e-05,approximate,admission_weight > 1e-05,1e-05,not asserted; approximate pruning threshold,9994240,291.4190167536501,294,346,371,106,425,4600,0.06335196016383698,0.0
layer,11,k,admission_weight_gt_1e-05,approximate,admission_weight > 1e-05,1e-05,not asserted; approximate pruning threshold,9994240,307.46680678070567,309,361,389,111,455,4600,0.06684061016971862,0.0
layer,12,k,admission_weight_gt_1e-05,approximate,admission_weight > 1e-05,1e-05,not asserted; approximate pruning threshold,9994240,338.357772677062,338,389,428,144,519,4600,0.07355603753849173,0.0
layer,13,k,admission_weight_gt_1e-05,approximate,admission_weight > 1e-05,1e-05,not asserted; approximate pruning threshold,9994240,664.3403883636975,672,766,834,150,995,4600,0.14442182355732552,0.0
layer,14,k,admission_weight_gt_1e-05,approximate,admission_weight > 1e-05,1e-05,not asserted; approximate pruning threshold,9994240,733.4799890737064,737,815,883,113,1086,4600,0.15945217153776226,0.0
layer,15,k,admission_weight_gt_1e-05,approximate,admission_weight > 1e-05,1e-05,not asserted; approximate pruning threshold,9994240,661.6000085048988,677,754,818,128,1038,4600,0.14382608880541278,0.0
layer,16,k,admission_weight_gt_1e-05,approximate,admission_weight > 1e-05,1e-05,not asserted; approximate pruning threshold,9994240,503.29575025214524,514,584,637,136,814,4600,0.10941211962003157,0.0
layer,17,k,admission_weight_gt_1e-05,approximate,admission_weight > 1e-05,1e-05,not asserted; approximate pruning threshold,9994240,313.8183478683722,314,377,429,108,569,4600,0.06822137997138526,0.0
layer,0,k,admission_weight_gt_1e-04,approximate,admission_weight > 1e-04,0.0001,not asserted; approximate pruning threshold,9994240,243.83860483638577,245,294,311,112,413,4600,0.05300839235573604,0.0
layer,1,k,admission_weight_gt_1e-04,approximate,admission_weight > 1e-04,0.0001,not asserted; approximate pruning threshold,9994240,311.189961317719,308,405,432,134,475,4600,0.06764999159080848,0.0
layer,2,k,admission_weight_gt_1e-04,approximate,admission_weight > 1e-04,0.0001,not asserted; approximate pruning threshold,9994240,328.331256003458,324,424,449,142,504,4600,0.07137636000075175,0.0
layer,3,k,admission_weight_gt_1e-04,approximate,admission_weight > 1e-04,0.0001,not asserted; approximate pruning threshold,9994240,357.4584577716765,367,444,463,141,495,4600,0.07770836038514706,0.0
